Material Inner,Material Outer,MAWP (Pa),Tank Volume (m^3),Tank Mass (kg),Mass Error (kg),Inner Tank Thickness (m),Outer Tank Thickness (m),Vacuum Gap (m),Inner Tank Length (m),Vh2 (m^3),R_in (m),CO2 (kg),Embodied Energy (MJ),Angle of winding inner,Angle of winding outer,P_vent,Qleak,Q_cond,Q_rad,dv_list,Outer Tank Length (m),Outer Tank Radius (m)
SS-316,Carbon Fibre UD (Prepreg),1200000,5.881323520168808,901.5565394095737,65.76425369528789,0.004445036538518186,0.001,0.07689359106905391,3.0922277126556814,4.5808444904124155,0.75,4390.140645082118,61360.269274529586,0,42.800000000000004,300000,78.2362007798517,43.25238225309291,34.58394623199114,"[0.07689260998338882, 0.07689359106905391]",3.2569649678708252,0.832368627607572
SS-316,SS-316,1200000,5.88132668166806,1010.6573493966561,174.86506368237025,0.004445036538518186,0.001,0.07689377667178027,3.0922277126556814,4.5808444904124155,0.75,3612.2728315558393,48694.10718075214,0,0,300000,78.2362007798517,43.252291249970405,34.58394623199114,"[0.07689343329200464, 0.07689377667178027]",3.2569653390762783,0.8323688132102984
Al-7075-T6,Al-7075-T6,1200000,5.548131853995731,502.2605353917601,-333.53175032252574,0.0023123169872089557,0.001,0.04759630935943362,3.1850324665063985,4.744844027677453,0.75,1950.354845660534,31472.04467602667,0,0,400000,108.28885786649215,72.41809777923699,35.47077399415813,"[0.047596294699665365, 0.04759630935943362]",3.2869097191996834,0.8009386263466425
Al-7075-T6,G10,1200000,5.548098755442391,487.4560487404117,-348.3362369738741,0.0023123169872089557,0.001,0.047594308378564196,3.1850324665063985,4.744844027677453,0.75,1816.8351280217996,30233.63311534979,0,40.300000000000004,400000,108.28885786649215,72.42051846704697,35.47077399415813,"[0.04759167157716122, 0.047594308378564196]",3.2869057172379446,0.800936625365773
Al-7075-T6,SS-304,1200000,5.5481304392816515,587.5303749292019,-248.2619107850839,0.0023123169872089557,0.001,0.047596223832711435,3.1850324665063985,4.744844027677453,0.75,1984.0822796524844,32187.88467449241,0,0,400000,108.28885786649215,72.41818335083944,35.47077399415813,"[0.04759609709662849, 0.047596223832711435]",3.286909548146239,0.8009385408199203
Al-7075-T6,Carbon Fibre UD (Prepreg),1200000,5.548127315938867,481.8321463275413,-353.9601393867445,0.0023123169872089557,0.001,0.04759603501057251,3.1850324665063985,4.744844027677453,0.75,2906.972836569439,45421.26619919454,0,0.7000000000000001,400000,108.28885786649215,72.41843807879089,35.47077399415813,"[0.04759566083722962, 0.04759603501057251]",3.2869091705019615,0.8009383519977814
Al-7075-T6,SS-316,1200000,5.548130385956281,587.7784920261748,-248.01379368811098,0.0023123169872089557,0.001,0.047596220608919104,3.1850324665063985,4.744844027677453,0.75,2151.5957589211357,33121.32479963237,0,0,400000,108.28885786649215,72.41818666679521,35.47077399415813,"[0.04759608964829931, 0.047596220608919104]",3.2869095416986545,0.800938537596128
G10,Al-7075-T6,1200000,5.536792642583965,471.508235405655,-364.2840503086308,0.0016977092699636044,0.001,0.047524966837402136,3.1850324665063985,4.744844027677453,0.75,1777.9088363507342,31431.149852526025,50.600000000000044,0,400000,108.28885786649215,72.46073293436476,35.42813886958292,"[0.04752495904038176, 0.047524966837402136]",3.2855378187211297,0.8002526761073657
G10,G10,1200000,5.536759586197982,456.72260157142244,-379.06968414286337,0.0016977092699636044,0.001,0.047522965857602774,3.1850324665063985,4.744844027677453,0.75,1644.5591499394568,30194.315347960095,50.600000000000044,51.2,400000,108.28885786649215,72.46315900931765,35.42813886958292,"[0.047521563435781795, 0.047522965857602774]",3.2855338167615313,0.8002506751275663
G10,SS-304,1200000,5.53679122967222,556.6694873200395,-279.12279839424633,0.0016977092699636044,0.001,0.0475248813107257,3.1850324665063985,4.744844027677453,0.75,1811.5933198080993,32146.078257772922,50.600000000000044,0,400000,108.28885786649215,72.46081871514077,35.42813886958292,"[0.047524813904216714, 0.0475248813107257]",3.285537647667777,0.8002525905806893
