grid,velocity,T,D,X_N2,X_H2,X_H,X_O2,X_O,X_H2O,X_OH,X_H2O2,X_HO2,X_NO,X_N2O,X_N,X_NH,X_NNH,X_NH2
0.000701367187,5.60452247,911.907638,1.79131388,0.26359507,0.650516866,0.000844724751,0.0599673953,1.27819713e-05,0.0242415754,0.000109556364,6.72801589e-05,0.000644749876,4.07520407e-11,1.37736858e-10,1.18687013e-12,3.28177407e-13,2.68465268e-11,1.24136723e-12
0.000701464844,5.62073548,914.737938,1.78614683,0.263643913,0.6502513,0.000865909822,0.0598254365,1.31931309e-05,0.0245816702,0.000110586482,6.70680435e-05,0.000640922271,4.17437366e-11,1.41883372e-10,1.22570692e-12,3.37762723e-13,2.79589892e-11,1.26220934e-12
0.0007015625,5.63698303,917.574571,1.7809986,0.263692667,0.649984527,0.000887451905,0.0596823224,1.36138577e-05,0.0249239319,0.000111599648,6.68432468e-05,0.000637042713,4.27544605e-11,1.46139339e-10,1.26363986e-12,3.45512781e-13,2.91084708e-11,1.28123679e-12
0.000701660156,5.65326378,920.41731,1.77586953,0.263741328,0.649716561,0.000909353221,0.059538059,1.40442304e-05,0.0252683373,0.000112595996,6.66059868e-05,0.000633114901,4.37885603e-11,1.50511205e-10,1.30469986e-12,3.55435324e-13,3.02997069e-11,1.30245523e-12
0.000701757812,5.66957642,923.265929,1.77075995,0.263789895,0.649447415,0.000931615949,0.0593926519,1.44843234e-05,0.0256148632,0.000113575684,6.6356486e-05,0.000629142446,4.48459407e-11,1.55001023e-10,1.34844314e-12,3.67055696e-13,3.15333248e-11,1.32538825e-12
0.000701855469,5.68591966,926.120204,1.7656702,0.263838365,0.649177102,0.000954242228,0.0592461071,1.49342069e-05,0.0259634864,0.000114538893,6.60949712e-05,0.000625128862,4.59223712e-11,1.59606741e-10,1.39029667e-12,3.75767928e-13,3.2806068e-11,1.34542297e-12
0.000701953125,5.70229219,928.979915,1.76060057,0.263886735,0.648905637,0.000977234153,0.0590984306,1.53939466e-05,0.0263141837,0.000115485829,6.58216731e-05,0.000621077571,4.70241913e-11,1.6433688e-10,1.43627937e-12,3.87571129e-13,3.41247171e-11,1.36855553e-12
0.000702050781,5.71869276,931.844841,1.75555136,0.263935005,0.648633032,0.00100059377,0.0589496285,1.58636039e-05,0.0266669322,0.000116416714,6.55368263e-05,0.000616991898,4.8148415e-11,1.69190697e-10,1.48304627e-12,3.9908414e-13,3.54872117e-11,1.39140122e-12
0.000702148437,5.73512011,934.714766,1.75052287,0.26398317,0.6483593,0.0010243231,0.0587997069,1.63432353e-05,0.0270217087,0.000117331792,6.5240669e-05,0.000612875066,4.92942264e-11,1.74169629e-10,1.52944152e-12,4.09123552e-13,3.68935777e-11,1.41277058e-12
0.000702246094,5.75157299,937.589474,1.74551534,0.26403123,0.648084456,0.00104842408,0.058648672,1.68328928e-05,0.0273784903,0.000118231323,6.49334425e-05,0.000608730202,5.04661294e-11,1.79280447e-10,1.57962834e-12,4.21827632e-13,3.83488805e-11,1.43679757e-12
0.00070234375,5.76805017,940.468754,1.74052905,0.264079182,0.647808511,0.00107289863,0.0584965301,1.73326235e-05,0.0277372539,0.000119115586,6.46153911e-05,0.000604560331,5.16600221e-11,1.84521374e-10,1.62914e-12,4.32693965e-13,3.98499796e-11,1.4589756e-12
